"","ID","ID-2","Zscore"
"68157-60-8","68157-60-8","68157-60-8",0.770210059733293
"109-77-3","109-77-3","109-77-3",1.62449412065661
"75-64-9","75-64-9","75-64-9",4.56703774415136
"95-95-4","95-95-4","95-95-4",0.469237627733607
"1885-38-7","1885-38-7","1885-38-7",0.0187633266525599
"89-83-8","89-83-8","89-83-8",1.02430022297803
"40487-42-1","40487-42-1","40487-42-1",0.423967203665447
"103-28-6","103-28-6","103-28-6",1.38042256892428
"821-48-7","821-48-7","821-48-7",0.280675027312375
"95266-40-3","95266-40-3","95266-40-3",0.435696191809359
"139-88-8","139-88-8","139-88-8",0.121090708841712
"60-57-1","60-57-1","60-57-1",1.49923647959171
"138-86-3","138-86-3","138-86-3",0.189140591817007
"142-18-7","142-18-7","142-18-7",0.796524250849492
"271-89-6","271-89-6","271-89-6",0.234675764240503
"111-55-7","111-55-7","111-55-7",0.643609605685295
"82385-42-0","82385-42-0","82385-42-0",0.36210386654089
"58-85-5","58-85-5","58-85-5",0.0553668378745314
"633-96-5","633-96-5","633-96-5",0.0370435318119929
"1698-60-8","1698-60-8","1698-60-8",0.717857463369124
"104-76-7","104-76-7","104-76-7",0.882050341602339
"97-00-7","97-00-7","97-00-7",0.196548592844025
"67786-14-5","67786-14-5","67786-14-5",0.625135204722842
"873-32-5","873-32-5","873-32-5",0.418928621381385
"128-39-2","128-39-2","128-39-2",0.403547713367788
"78-42-2","78-42-2","78-42-2",1.31627748414799
"1563-66-2","1563-66-2","1563-66-2",1.09394344055117
"6440-58-0","6440-58-0","6440-58-0",0.132342297446657
"188489-07-8","188489-07-8","188489-07-8",0.0214181502860721
"51632-16-7","51632-16-7","51632-16-7",0.640085242373365
"60-12-8","60-12-8","60-12-8",0.38802179382879
"81-07-2","81-07-2","81-07-2",0.321803500861682
"3913-02-8","3913-02-8","3913-02-8",0.681177910293295
"314-40-9","314-40-9","314-40-9",0.432788332557336
"616-45-5","616-45-5","616-45-5",0.208708173708189
"29548-30-9","29548-30-9","29548-30-9",0.652952581174249
"874-60-2","874-60-2","874-60-2",0.990928828147756
"538-75-0","538-75-0","538-75-0",0.152123781212339
"1987-50-4","1987-50-4","1987-50-4",1.16674637853994
"99-66-1","99-66-1","99-66-1",1.0470280656998
"68959-20-6","68959-20-6","68959-20-6",1.54310996984256
"88-74-4","88-74-4","88-74-4",0.484727606028492
"112281-77-3","112281-77-3","112281-77-3",0.00789230371287948
"2114-11-6","2114-11-6","2114-11-6",0.375116790780957
"1068967-96-3","1068967-96-3","1068967-96-3",0.400527621698489
"7287-19-6","7287-19-6","7287-19-6",0.057263219768148
"69655-05-6","69655-05-6","69655-05-6",0.33147139232728
"56-53-1","56-53-1","56-53-1",0.535040360421471
"126-14-7","126-14-7","126-14-7",4.28553162278277
"90-04-0","90-04-0","90-04-0",0.925051241237462
"52663-68-0","52663-68-0","52663-68-0",1.15225654717468
"173584-44-6","173584-44-6","173584-44-6",1.22330892611992
"868-57-5","868-57-5","868-57-5",0.791174262514376
"181640-09-5","181640-09-5","181640-09-5",1.09476053083162
"108-80-5","108-80-5","108-80-5",1.44822763716724
"335-76-2","335-76-2","335-76-2",5.13039477178091
"129-06-6","129-06-6","129-06-6",0.149593113796247
"7779-27-3","7779-27-3","7779-27-3",0.377562269513691
"1072-15-7","1072-15-7","1072-15-7",0.262857660986523
"16409-43-1","16409-43-1","16409-43-1",0.808004109256482
"3068-00-6","3068-00-6","3068-00-6",0.454833731218135
"50-81-7","50-81-7","50-81-7",0.0894896458997426
"3634-83-1","3634-83-1","3634-83-1",0.117309967435092
"77-78-1","77-78-1","77-78-1",0.662659839124046
"3547-33-9","3547-33-9","3547-33-9",0.798715205523771
"221671-62-1","221671-62-1","221671-62-1",1.61545996737864
"3319-31-1","3319-31-1","3319-31-1",1.19716521329529
"109-02-4","109-02-4","109-02-4",0.202959296715415
"135-98-8","135-98-8","135-98-8",0.339457001139122
"56-81-5","56-81-5","56-81-5",0.0898701951011782
"28249-77-6","28249-77-6","28249-77-6",0.877823498865778
"68359-37-5","68359-37-5","68359-37-5",0.176056762201399
"64-67-5","64-67-5","64-67-5",0.126373229336161
"124-05-0","124-05-0","124-05-0",0.139998063554953
"4584-46-7","4584-46-7","4584-46-7",0.228213389800383
"84087-01-4","84087-01-4","84087-01-4",0.0641722927687964
"120-36-5","120-36-5","120-36-5",0.210528918262792
"2176-62-7","2176-62-7","2176-62-7",0.34570315454618
"117337-19-6","117337-19-6","117337-19-6",0.752324921752539
"61-82-5","61-82-5","61-82-5",0.487835296257885
"131860-33-8","131860-33-8","131860-33-8",0.622701828360496
"26225-79-6","26225-79-6","26225-79-6",0.665560994002734
"79-44-7","79-44-7","79-44-7",0.0986391095653884
"104-72-3","104-72-3","104-72-3",0.162352463149501
"60-56-0","60-56-0","60-56-0",0.0879124393383145
"1120-21-4","1120-21-4","1120-21-4",0.563774884834093
"83-88-5","83-88-5","83-88-5",0.6176703843317
"82-44-0","82-44-0","82-44-0",0.973655358436086
"16867-04-2","16867-04-2","16867-04-2",0.0373488178921165
"75-99-0","75-99-0","75-99-0",0.0430836862882871
"104-51-8","104-51-8","104-51-8",0.316335926745493
"117-39-5","117-39-5","117-39-5",1.07015012381941
"92-44-4","92-44-4","92-44-4",0.491378199081172
"606-20-2","606-20-2","606-20-2",0.0932058893238384
"85-01-8","85-01-8","85-01-8",0.427666237315197
"111-31-9","111-31-9","111-31-9",0.282944514941436
"140-49-8","140-49-8","140-49-8",1.16228014824146
"111-27-3","111-27-3","111-27-3",0.529633694450939
"13676-54-5","13676-54-5","13676-54-5",0.572007261229549
"127-39-9","127-39-9","127-39-9",0.0455618858212603
"2051-62-9","2051-62-9","2051-62-9",0.186387741295514
"79902-63-9","79902-63-9","79902-63-9",0.0860491238489779
"111-40-0","111-40-0","111-40-0",0.378294817136161
"759-94-4","759-94-4","759-94-4",0.907912582100412
"461-58-5","461-58-5","461-58-5",1.23758603099429
"58-89-9","58-89-9","58-89-9",1.33042699856614
"16079-88-2","16079-88-2","16079-88-2",0.175232610937592
"158081-99-3","158081-99-3","158081-99-3",0.099799310987798
"126-73-8","126-73-8","126-73-8",0.0189750110941623
"2212-67-1","2212-67-1","2212-67-1",0.923344050132557
"142-92-7","142-92-7","142-92-7",1.14266812719861
"141-22-0","141-22-0","141-22-0",0.499964869408693
"161050-58-4","161050-58-4","161050-58-4",0.476132779718133
"532-27-4","532-27-4","532-27-4",0.738882374853109
"112-00-5","112-00-5","112-00-5",0.265996787459286
"52-68-6","52-68-6","52-68-6",0.061658832520211
"1843-05-6","1843-05-6","1843-05-6",0.830612916248489
"109-46-6","109-46-6","109-46-6",0.698223039455661
"111991-09-4","111991-09-4","111991-09-4",1.09618757492815
"100-43-6","100-43-6","100-43-6",0.281363485780364
"85721-33-1","85721-33-1","85721-33-1",0.160168043363662
"96-76-4","96-76-4","96-76-4",0.605228655703948
"14765-30-1","14765-30-1","14765-30-1",0.879378578553155
"83-32-9","83-32-9","83-32-9",0.096149877470939
"527-60-6","527-60-6","527-60-6",0.116934210276161
"5437-45-6","5437-45-6","5437-45-6",0.962347628542708
"1118-92-9","1118-92-9","1118-92-9",1.03626896808404
"495-18-1","495-18-1","495-18-1",0.509271621643325
"33820-53-0","33820-53-0","33820-53-0",0.313113254042526
"21662-09-9","21662-09-9","21662-09-9",0.924304181438526
"122-19-0","122-19-0","122-19-0",0.977865243728703
"NOCAS_47379","NOCAS_47379","NOCAS_47379",1.16048940504668
"120-51-4","120-51-4","120-51-4",1.04716432018579
"5949-05-3","5949-05-3","5949-05-3",0.627753385740745
"621-64-7","621-64-7","621-64-7",0.486715636483943
"140-95-4","140-95-4","140-95-4",0.48123189650879
"105-21-5","105-21-5","105-21-5",0.855542691917463
"83834-59-7","83834-59-7","83834-59-7",1.15095039334861
"92-84-2","92-84-2","92-84-2",0.403012351901842
"58-14-0","58-14-0","58-14-0",0.0365221024905161
"193-39-5","193-39-5","193-39-5",1.93854100871071
"2385-85-5","2385-85-5","2385-85-5",5.54463402911947
"1008-72-6","1008-72-6","1008-72-6",0.504598024751482
"3252-43-5","3252-43-5","3252-43-5",1.64837915832626
"26002-80-2","26002-80-2","26002-80-2",0.442623276797803
"98-87-3","98-87-3","98-87-3",0.346183308456704
"35958-30-6","35958-30-6","35958-30-6",1.64255248019572
"571-58-4","571-58-4","571-58-4",0.140024578492043
"51-30-9","51-30-9","51-30-9",0.780160209652546
"55-98-1","55-98-1","55-98-1",0.459020319125919
"24602-86-6","24602-86-6","24602-86-6",0.0379740040064402
"716-79-0","716-79-0","716-79-0",0.277474409845087
"7747-35-5","7747-35-5","7747-35-5",0.463272628930132
"3852-09-3","3852-09-3","3852-09-3",0.105248269810873
"60207-90-1","60207-90-1","60207-90-1",0.224128865473082
"126-06-7","126-06-7","126-06-7",0.147698528981876
"132-64-9","132-64-9","132-64-9",0.047093095793616
"99-86-5","99-86-5","99-86-5",0.182570784176145
"1120-01-0","1120-01-0","1120-01-0",0.478118769552635
"2058-94-8","2058-94-8","2058-94-8",5.83214685679748
"501027-49-2","501027-49-2","501027-49-2",0.463691656355926
"110-01-0","110-01-0","110-01-0",0.834258301783239
"3006-93-7","3006-93-7","3006-93-7",0.374387169350982
"4574-04-3","4574-04-3","4574-04-3",0.464149787816524
"577-11-7","577-11-7","577-11-7",0.445601315167772
"1135-66-6","1135-66-6","1135-66-6",0.474807825304501
"64359-81-5","64359-81-5","64359-81-5",0.342787915742827
"623-36-9","623-36-9","623-36-9",0.488269799657175
"10453-86-8","10453-86-8","10453-86-8",0.282630878502137
"76-03-9","76-03-9","76-03-9",1.32600165568493
"144550-36-7","144550-36-7","144550-36-7",1.16298668432416
"111-21-7","111-21-7","111-21-7",0.215247254344216
"29091-21-2","29091-21-2","29091-21-2",0.338321027043122
"111-15-9","111-15-9","111-15-9",0.712958007162354
"307-24-4","307-24-4","307-24-4",2.61171839979909
"52315-07-8","52315-07-8","52315-07-8",0.170005249425808
"742693-38-5","742693-38-5","742693-38-5",0.283005597359206
"142-31-4","142-31-4","142-31-4",0.281022002635772
"2122-70-5","2122-70-5","2122-70-5",0.997575392861735
"16587-71-6","16587-71-6","16587-71-6",0.0812747460594073
"30560-19-1","30560-19-1","30560-19-1",0.235863344732658
"700-13-0","700-13-0","700-13-0",0.649452677287618
"179465-71-5","179465-71-5","179465-71-5",0.329891384823104
"108-93-0","108-93-0","108-93-0",0.144409361338995
"58-56-0","58-56-0","58-56-0",0.632818743138306
"149-57-5","149-57-5","149-57-5",1.05354934876907
"107-70-0","107-70-0","107-70-0",0.913801601700079
"141-32-2","141-32-2","141-32-2",1.02051769158703
"96-18-4","96-18-4","96-18-4",0.60545372781398
"86-28-2","86-28-2","86-28-2",0.200053289999991
"NOCAS_47265","NOCAS_47265","NOCAS_47265",0.367552576354589
"91-64-5","91-64-5","91-64-5",0.352407125340167
"94-82-6","94-82-6","94-82-6",1.01315520513322
"111-14-8","111-14-8","111-14-8",0.897313845172407
"129453-61-8","129453-61-8","129453-61-8",1.70518477454213
"700-06-1","700-06-1","700-06-1",0.0155105856031329
"109-97-7","109-97-7","109-97-7",0.47705701426934
"57-09-0","57-09-0","57-09-0",0.708648169346151
"78-62-6","78-62-6","78-62-6",0.0277441298654922
"533-23-3","533-23-3","533-23-3",1.04317593415718
"58-08-2","58-08-2","58-08-2",1.11889457730465
"106-49-0","106-49-0","106-49-0",0.270313996058139
"58394-64-2","58394-64-2","58394-64-2",0.545609150581711
"39236-46-9","39236-46-9","39236-46-9",3.57578321104687
"112410-23-8","112410-23-8","112410-23-8",0.392413673856
"124-03-8","124-03-8","124-03-8",0.733705405354906
"139968-49-3","139968-49-3","139968-49-3",1.30219312315695
"112-49-2","112-49-2","112-49-2",0.441502097872385
"15625-89-5","15625-89-5","15625-89-5",0.307998998835735
"24683-00-9","24683-00-9","24683-00-9",1.05775818993649
"115-86-6","115-86-6","115-86-6",0.524156096869689
"107-54-0","107-54-0","107-54-0",0.333630386035758
"2807-30-9","2807-30-9","2807-30-9",0.487217195970027
"124495-18-7","124495-18-7","124495-18-7",0.373864124958103
"110-05-4","110-05-4","110-05-4",0.443811836643162
"107-88-0","107-88-0","107-88-0",0.494954128342107
"79-97-0","79-97-0","79-97-0",0.717584337605591
"114-07-8","114-07-8","114-07-8",3.47303249900004
"725228-45-5","725228-45-5","725228-45-5",0.0597840946134675
"3648-21-3","3648-21-3","3648-21-3",0.407975348908446
"361377-29-9","361377-29-9","361377-29-9",0.829314769427003
"126-11-4","126-11-4","126-11-4",0.0956915537289938
"91-66-7","91-66-7","91-66-7",0.587926218973888
"117-84-0","117-84-0","117-84-0",0.0501077631780334
"108-67-8","108-67-8","108-67-8",0.00658692287585948
"451-40-1","451-40-1","451-40-1",0.875469381741224
"120-14-9","120-14-9","120-14-9",0.970551112513979
"693-54-9","693-54-9","693-54-9",0.686810945464495
"143390-89-0","143390-89-0","143390-89-0",0.962599362227994
"626-48-2","626-48-2","626-48-2",0.164272077472106
"150-13-0","150-13-0","150-13-0",0.579359278278087
"5153-25-3","5153-25-3","5153-25-3",1.36090731380197
"111-20-6","111-20-6","111-20-6",0.827384787661766
"261947-38-0","261947-38-0","261947-38-0",2.03519065215931
"110-25-8","110-25-8","110-25-8",0.159354519354312
"446-72-0","446-72-0","446-72-0",0.23717475921738
"100-97-0","100-97-0","100-97-0",1.66987744169247
"108-59-8","108-59-8","108-59-8",0.0425897231619297
"10061-01-5","10061-01-5","10061-01-5",0.661686368523122
"927-62-8","927-62-8","927-62-8",0.214020259415821
"99-63-8","99-63-8","99-63-8",0.646697981351137
"298-04-4","298-04-4","298-04-4",0.185589601592945
"13254-34-7","13254-34-7","13254-34-7",0.839815311109212
"73-22-3","73-22-3","73-22-3",0.115048010628407
"88-41-5","88-41-5","88-41-5",1.01881740755083
"1143-38-0","1143-38-0","1143-38-0",0.948623408766544
"72490-01-8","72490-01-8","72490-01-8",0.571935350982675
"52-86-8","52-86-8","52-86-8",0.86390669821575
"1559-35-9","1559-35-9","1559-35-9",0.980710443240286
"50-29-3","50-29-3","50-29-3",0.154722586186434
"2943-75-1","2943-75-1","2943-75-1",0.083527670276252
"131-70-4","131-70-4","131-70-4",1.20067039737248
"107-46-0","107-46-0","107-46-0",2.35252390145936
"2402-78-0","2402-78-0","2402-78-0",0.423388126833044
"767-00-0","767-00-0","767-00-0",0.13392278071167
"647-42-7","647-42-7","647-42-7",2.22347666399415
"127-51-5","127-51-5","127-51-5",0.584007987680215
"34014-18-1","34014-18-1","34014-18-1",0.236541957455116
"72-20-8","72-20-8","72-20-8",1.49923647959171
"77-83-8","77-83-8","77-83-8",1.05553906435691
"62-74-8","62-74-8","62-74-8",0.783066978460277
"526-73-8","526-73-8","526-73-8",0.157185793533496
"120116-88-3","120116-88-3","120116-88-3",0.0615959666596902
"5977-14-0","5977-14-0","5977-14-0",0.625635742552091
"2934-05-6","2934-05-6","2934-05-6",1.05717141231633
"104-43-8","104-43-8","104-43-8",0.406288432847186
"108-87-2","108-87-2","108-87-2",0.139019384764898
"2782-57-2","2782-57-2","2782-57-2",0.822475208882505
"77-47-4","77-47-4","77-47-4",0.743290806466136
"112-35-6","112-35-6","112-35-6",0.211315340659467
"756-79-6","756-79-6","756-79-6",0.0941877439430965
"90-72-2","90-72-2","90-72-2",0.109083392434954
"54-85-3","54-85-3","54-85-3",0.574116399027364
"1559-34-8","1559-34-8","1559-34-8",0.316162931314287
"61949-77-7","61949-77-7","61949-77-7",0.392968309022536
"112-14-1","112-14-1","112-14-1",1.0653941061797
"330-55-2","330-55-2","330-55-2",0.823452677310091
"2432-87-3","2432-87-3","2432-87-3",0.87825450258493
"96-54-8","96-54-8","96-54-8",0.170645623273902
"25152-84-5","25152-84-5","25152-84-5",1.00390050938062
"32388-55-9","32388-55-9","32388-55-9",0.207522774952683
"16529-56-9","16529-56-9","16529-56-9",0.228925859988817
"2043-57-4","2043-57-4","2043-57-4",2.75631728725938
"120068-37-3","120068-37-3","120068-37-3",1.22483457193812
"331623-06-4","331623-06-4","331623-06-4",0.925702845849761
"129299-90-7","129299-90-7","129299-90-7",0.00711236504170104
"112-34-5","112-34-5","112-34-5",0.560245794484977
"94-59-7","94-59-7","94-59-7",1.02420806236619
"123-17-1","123-17-1","123-17-1",0.656545340446302
"3739-38-6","3739-38-6","3739-38-6",1.01432835684685
"2835-39-4","2835-39-4","2835-39-4",1.00523452937912
"74051-80-2","74051-80-2","74051-80-2",0.587183605993778
"4291-63-8","4291-63-8","4291-63-8",0.294447571894353
"79-57-2","79-57-2","79-57-2",1.89430443903103
"96-70-8","96-70-8","96-70-8",1.10198382218131
"53-03-2","53-03-2","53-03-2",0.177816030780044
"135-20-6","135-20-6","135-20-6",0.0484709191122127
