"","ID","ID-2","Zscore"
"140-95-4","140-95-4","140-95-4",0.471191184146448
"123-01-3","123-01-3","123-01-3",0.465199943389032
"NOCAS_47255","NOCAS_47255","NOCAS_47255",0.119111438036784
"140-08-9","140-08-9","140-08-9",2.2894881930678
"2425-77-6","2425-77-6","2425-77-6",0.101715333849937
"57-41-0","57-41-0","57-41-0",0.523473417331134
"3739-38-6","3739-38-6","3739-38-6",1.00825072506439
"579-66-8","579-66-8","579-66-8",0.883904313208513
"4584-49-0","4584-49-0","4584-49-0",0.268789119930448
"1024-57-3","1024-57-3","1024-57-3",1.42256671201798
"2416-94-6","2416-94-6","2416-94-6",0.946889178277534
"55283-68-6","55283-68-6","55283-68-6",0.265177432026298
"103-56-0","103-56-0","103-56-0",1.40623957113493
"78-07-9","78-07-9","78-07-9",0.0128544370153286
"81-81-2","81-81-2","81-81-2",0.489664650584956
"25956-17-6","25956-17-6","25956-17-6",1.24626043321404
"99-99-0","99-99-0","99-99-0",0.327208006324743
"99-85-4","99-85-4","99-85-4",0.196347909340771
"569-64-2","569-64-2","569-64-2",0.167472192119693
"10016-20-3","10016-20-3","10016-20-3",15.1448292583016
"19774-82-4","19774-82-4","19774-82-4",1.46115995677084
"584-03-2","584-03-2","584-03-2",0.415586207685817
"1191914-21-2","1191914-21-2","1191914-21-2",1.57403146326658
"115-96-8","115-96-8","115-96-8",0.418683854685131
"106-22-9","106-22-9","106-22-9",0.686803288125825
"645-62-5","645-62-5","645-62-5",1.0115246727539
"56-37-1","56-37-1","56-37-1",0.332535630090545
"50471-44-8","50471-44-8","50471-44-8",0.762070542235707
"92-68-2","92-68-2","92-68-2",0.109253042665127
"289716-94-5","289716-94-5","289716-94-5",0.713001300418741
"50-33-9","50-33-9","50-33-9",0.631152664447254
"611-59-6","611-59-6","611-59-6",0.644853900210514
"104-51-8","104-51-8","104-51-8",0.304885201697056
"90-12-0","90-12-0","90-12-0",0.138258986291789
"143-07-7","143-07-7","143-07-7",0.694519613039759
"129298-91-5","129298-91-5","129298-91-5",0.386292098764739
"88-41-5","88-41-5","88-41-5",1.05850542596069
"126833-17-8","126833-17-8","126833-17-8",1.08404555602371
"16079-88-2","16079-88-2","16079-88-2",0.19465459737427
"1646-88-4","1646-88-4","1646-88-4",0.321759862862375
"98-53-3","98-53-3","98-53-3",0.282012540701195
"111-96-6","111-96-6","111-96-6",0.308434757356923
"637-07-0","637-07-0","637-07-0",1.03599677054166
"60-35-5","60-35-5","60-35-5",0.171894338909554
"1942-71-8","1942-71-8","1942-71-8",1.02582867641081
"137-42-8","137-42-8","137-42-8",0.562204496572493
"544-01-4","544-01-4","544-01-4",0.29720146804414
"4130-42-1","4130-42-1","4130-42-1",0.294816811077564
"124-18-5","124-18-5","124-18-5",0.497077447658609
"112-29-8","112-29-8","112-29-8",0.131600275563067
"525-79-1","525-79-1","525-79-1",0.492410977231453
"6893-02-3","6893-02-3","6893-02-3",1.90121506997465
"79-44-7","79-44-7","79-44-7",0.0658681619069516
"110-01-0","110-01-0","110-01-0",0.810372130124378
"15299-99-7","15299-99-7","15299-99-7",0.948925791574277
"1076-97-7","1076-97-7","1076-97-7",0.228180346237404
"102676-31-3","102676-31-3","102676-31-3",0.0867385525029291
"124495-18-7","124495-18-7","124495-18-7",0.369274568929682
"28434-00-6","28434-00-6","28434-00-6",0.582245297961894
"138472-01-2","138472-01-2","138472-01-2",0.128577830534943
"107071-66-9","107071-66-9","107071-66-9",0.587922756459238
"95-80-7","95-80-7","95-80-7",0.431429769840722
"5655-61-8","5655-61-8","5655-61-8",0.739504779934063
"2772-45-4","2772-45-4","2772-45-4",0.142270559169852
"90982-32-4","90982-32-4","90982-32-4",0.453317827499898
"444610-91-7","444610-91-7","444610-91-7",1.90108499569301
"199119-58-9","199119-58-9","199119-58-9",1.14155826155352
"140-11-4","140-11-4","140-11-4",1.36691743494883
"95-69-2","95-69-2","95-69-2",0.723604121089913
"550-44-7","550-44-7","550-44-7",1.06248304944857
"1189-08-8","1189-08-8","1189-08-8",0.956500316991603
"29420-49-3","29420-49-3","29420-49-3",2.39153577366131
"119515-38-7","119515-38-7","119515-38-7",0.953511278795286
"10540-29-1","10540-29-1","10540-29-1",0.102172107462115
"6317-18-6","6317-18-6","6317-18-6",1.53853319365124
"141-43-5","141-43-5","141-43-5",0.224561501283481
"104-61-0","104-61-0","104-61-0",0.977142425296379
"111-31-9","111-31-9","111-31-9",1.83044014032391
"335-67-1","335-67-1","335-67-1",3.77155482730652
"117718-60-2","117718-60-2","117718-60-2",0.208523163984747
"123-51-3","123-51-3","123-51-3",0.315243973418718
"85-22-3","85-22-3","85-22-3",2.38003845201901
"3852-09-3","3852-09-3","3852-09-3",0.148229742321569
"89-87-2","89-87-2","89-87-2",0.360321291738486
"97-89-2","97-89-2","97-89-2",1.12013313355136
"106-27-4","106-27-4","106-27-4",1.04849567310648
"126-11-4","126-11-4","126-11-4",0.0818703121435472
"149-57-5","149-57-5","149-57-5",1.09480913186803
"77-86-1","77-86-1","77-86-1",0.221590880885287
